day,price
1406,506.65
1573,527.87
429,364.50
1814,431.33
847,365.94
1103,334.55
159,318.27
1916,544.78
286,271.44
2151,676.18
1524,386.30
2044,597.74
803,373.36
1577,462.61
1124,317.63
72,260.54
1752,510.65
896,214.79
1997,546.47
496,355.83
1129,441.20
1364,467.19
1443,480.60
1574,446.95
1634,519.79
985,395.79
1444,471.99
320,355.93
1,256.74
2062,527.71
231,262.24
274,351.40
1027,338.55
1413,349.92
2119,431.62
397,326.78
244,218.73
783,470.43
984,423.77
890,270.79
2007,595.68
114,215.24
2016,537.45
1749,672.24
387,375.04
1964,554.82
554,281.72
1782,411.01
1260,387.09
1131,434.74
1270,612.81
1461,484.87
346,326.50
948,452.58
937,371.36
2156,591.92
312,359.98
606,317.91
523,262.85
1421,472.99
821,309.21
1349,440.86
1311,353.38
484,334.23
2035,555.24
1408,497.77
1026,366.89
1511,491.00
788,298.97
497,337.18
1083,421.60
1974,539.64
541,253.11
2009,448.86
1642,503.15
1076,354.77
1488,488.34
2145,608.08
251,188.28
708,261.54
206,285.78
371,352.73
1442,501.75
1556,508.32
1953,630.09
63,332.93
980,354.29
1283,349.42
1274,467.43
616,428.67
626,416.29
461,339.99
333,163.66
1914,565.64
1969,575.49
641,355.99
349,139.47
314,376.07
1541,548.57
1861,527.03
192,230.54
696,312.42
1471,415.31
807,345.45
853,515.51
1531,511.13
1319,491.14
1490,569.46
1635,464.40
437,342.36
564,391.46
1654,386.72
1210,451.95
47,247.02
875,408.65
1313,463.68
1473,411.61
27,282.61
125,278.98
32,238.39
