day,price
2022,503.78
2202,558.00
2306,595.47
2230,609.39
2273,541.73
2013,550.81
2178,679.59
2234,575.07
2199,561.37
2047,582.41
2072,590.46
2072,640.42
2234,660.75
2099,421.14
2258,639.69
2216,605.05
2064,559.12
2146,574.76
2188,533.32
2012,512.14
1999,617.11
2072,530.01
2245,595.00
2162,577.07
2282,494.16
2081,523.58
2296,586.96
2291,634.28
1988,419.48
2018,598.03
2038,345.75
2302,661.42
2305,662.60
2103,585.75
2183,606.84
2230,559.06
2267,649.61
2005,583.87
2017,520.64
2007,435.44
2064,634.76
2254,595.57
1988,554.44
2178,654.68
2098,499.74
2138,613.90
2243,604.60
2000,584.64
2138,598.31
1987,548.89
2270,561.01
2202,562.11
2018,567.94
2103,561.64
2319,777.68
2312,611.70
2220,548.77
2107,490.67
2210,604.48
2209,554.82
2107,553.50
2139,602.21
1992,596.03
2183,588.51
2029,688.02
2106,494.01
2171,551.51
2190,643.22
2308,666.89
2249,507.49
